
创1:1 【太初天主开始创造天地】太初，天主创造天地。
创5:29 与他起名叫{挪亚}，意思说主降祸与地，使我们操作劳苦，这子必要安慰我们。(挪亚译即“安”之义。“降祸与地”或作“降诅与地”。)
创5:30 {拉麦}生{挪亚}之后，在世五百九十五年，又生子女。
创5:31 {拉麦}享寿七百七十七岁就死了。
创5:32 {挪亚}五百岁，生了{闪}、{含}、{雅弗}。
创6:1 【世人积累罪恶惹动主的怒气，使人类减寿】人在世上多起来，又生女儿。
创6:2 神子看见世人的女子美貌，就随意挑选，娶了来为妻。
创6:3 主说：人既是肉体，我的灵必不永住在他里面了，现在暂且容他一百二十年。(“我的灵必不永住在他里面了”或作“我的灵必不永与他相争”。“现在暂且容他一百二十年”或作“以后他的寿数只到一百二十岁”。)
创6:4 那时有伟人在世，后来神子和世人的女子交合，生了儿子，也是伟人，就是上古英武有名的人。
创6:5 【天主要将人与走兽，昆虫飞鸟灭绝】¶主见人在世间罪恶贯盈，心所思念的常是奸恶。
创6:6 主就后悔造人在世上，心中忧愁。
创6:7 主说：我要将所造的人与走兽，昆虫，飞鸟都从地上灭绝，因为我造他们后悔了。
创6:8 【挪亚一家在主面前蒙恩】惟有{挪亚}在主面前蒙恩了。
创6:9 ¶{挪亚}的事，记在下面。{挪亚}在那世代是个义人，也是完全人，是事奉天主的。(原文作“与天主偕行”。)
创6:10 {挪亚}生了三子，就是{闪}、{含}、{雅弗}。
创6:11 世界在天主面前都变坏了，满地都是强暴。
创6:12 天主见世界败坏，地上凡有血气的所行的都邪恶。(“凡有血气的”或作“万民”，下同。)
创6:13 【天主命令挪亚造方舟，指示他样式与尺寸】天主就对{挪亚}说：凡有血气的都将被我灭绝，因为满地都是他们的强暴，我要将他们从地上灭绝。
创6:14 你须用歌斐木排造一只方舟，分一舱一舱地造，里外抹上沥青。(歌斐木有译柏木，有译高浮木。)
创6:15 你造方舟样式如此，须长三百尺，宽五十尺，高三十尺。(“尺”原文作“肘”，因古以肘为度。)
创6:16 方舟上边须作一窗户，高一尺。方舟的门须开在旁边，要作三层，分上、中、下。
创6:17 我将使洪水泛滥在地，灭绝天下，凡有血气的活物，凡在地上的都必灭亡。
创6:18 我要与你立约，你和你妻同儿子、儿妇，都要进入方舟。
创6:19 你须将各样有血肉有生气的物，每样两个，一公一母，带进方舟，可以与你一同保全生命。
创6:20 飞鸟各从其类，走兽各从其类，昆虫各从其类，都须一对一对地与你一同上方舟，保全生命。
创6:21 你须积蓄各样食物，预备你和各样物类有吃的。
创6:22 {挪亚}都遵着天主的命令去行。
创7:1 【挪亚与眷属与活物一同上了方舟】主对{挪亚}说：我在这世代，只见你在我面前是义人，你和你全家都可以上方舟。
创7:2 凡洁净的畜类，须带七公七母，不洁净的畜类，要带一公一母。
创7:3 飞鸟也要带七公七母，可以留种在世上。
创7:4 因为再过七日，我将降雨在地四十昼夜，将所造的各种活物都从地上灭绝。
创7:5 {挪亚}便遵着凡主所吩咐的命令行了。
创7:6 洪水泛滥在地的时候，{挪亚}整六百岁。
创7:7 {挪亚}就与他妻和他儿子，儿妇都上了方舟，躲避洪水。
创7:8 洁净的牲畜和不洁净的牲畜，飞鸟和动在地上的昆虫。
创7:9 都是公母一对一对的，到{挪亚}那里上方舟，都按天主所吩咐{挪亚}的命令。
创7:10 【大洪水从各处泛滥在地上非常浩大】过了七日，洪水泛滥在地上。
创7:11 {挪亚}六百岁，二月十七那一日，大渊的泉源都涌出来，天也开了口了。
创7:12 四十昼夜降雨在地上。
创7:13 当那日，{挪亚}和他三个儿子，{闪}、{含}、{雅弗}，{挪亚}的妻和三个儿妇，都上了方舟。
创7:14 他们和百兽各从其类，牲畜各从其类，动在地上的昆虫各从其类，羽族飞禽各从其类，/都上了方舟/。
创7:15 凡有血肉有生气的物，都一对一对的，到{挪亚}那里上方舟。
创7:16 凡有血气上方舟的，都是遵着天主所吩咐{挪亚}的，有公有母，主就为他关了方舟的门。
创7:17 洪水泛滥在地，四十日，水势甚大，使方舟从地上漂起。
创7:18 水在地上涨溢越甚，方舟在水面上漂来漂去。
创7:19 水势在地上极其浩大，天下的高山都被淹没了。
创7:20 水涨溢比高山还高十五尺，山岭都被淹没。
创7:21 【洪水造成地上活物全都灭绝】地上各类的活物，飞鸟、牲畜、百兽、动在地上的昆虫，以及所有的人都灭亡。
创7:22 凡在旱地有鼻可通呼吸的都死亡。
创7:23 在地上各类的活物，从人以及牲畜、走兽、昆虫、飞鸟，都从地上灭绝，只留下{挪亚}和方舟上所有的。
创7:24 水涨溢在地上共一百五十日。
创8:1 【洪水逐渐消落】天主顾念{挪亚}并与{挪亚}一同在方舟的走兽，牲畜，天主使风吹地，水势稍落。
创8:2 渊源天口都堵塞，天上的雨也止住了。
创8:3 水从地上渐渐退了，一百五十日之后，水才消落。
创8:4 【方舟停在亚拉腊山上】七月十七日，方舟停在[亚拉腊]山上。
创8:5 水又渐消，一直到十月，十月初一日，现出山顶来了。
创8:6 【挪亚开窗，放乌鸦出方舟，又放鸽子出方舟】过了四十日，{挪亚}开了所作的方舟的窗户，
创8:7 放出一只乌鸦去。那乌鸦飞来飞去，直到地上的水都干了。
创8:8 又放一只鸽子出去，要看看水从地上退了没有。
创8:9 遍地还有水，鸽子得不着落处，又回到方舟{挪亚}那里，{挪亚}伸手接进方舟来。
创8:10 又等了七日，再放鸽子出了方舟。
创8:11 鸽子晚上回来，叼着一个油果树的叶子，{挪亚}才知道地上的水消退了。
创8:12 又等了七日，放出鸽子去，鸽子就不再回来。
创8:13 到{挪亚}六百零一岁，正月初一日，地上的水都干了，{挪亚}去掉方舟的顶，见地面没有水了。
创8:14 【挪亚听主的吩咐后将人与活物都带出方舟】到二月二十七日，地都干了。
创8:15 天主对{挪亚}说：
创8:16 你和你妻、你儿子、儿妇都可以出方舟。
创8:17 在你那里所有有血肉的活物、飞鸟、牲畜、动在地上的昆虫，都要带出来，都可以在地上滋生众多。
创8:18 于是{挪亚}与他妻和他儿子儿妇都出来了。
创8:19 百兽、昆虫、飞鸟、地上各样的动物，各从其类，也都出了方舟。
创8:20 【挪亚筑祭台献上火焚祭】{挪亚}为主筑了一座祭台，用各类洁净的牲畜、飞鸟，献在台上为火焚祭。
创8:21 【天主悦纳了献祭，应许不再用洪水灭绝活物了】主享受祭的馨香，心里说：我必不再因为人降灾祸于地，因人从小时心里就怀恶念，我必不按着我所行的再灭各种的活物了。(“降灾祸于地”原文作“诅地”。)
创8:22 以后有这个地，稼穑、寒暑、冬夏、昼夜就永不停息了。
创9:1 【天主许福给挪亚，让他们繁衍后代】天主许福与{挪亚}和他的众子，对他们说：你们生养众多，遍满了地。
创9:2 地上走兽、空中飞鸟、地上各种动物，并各样海鱼，都必惧怕你们，我都交付你们的手。
创9:3 【允许人吃动物的肉，但是不能吃带血的】凡活着的动物，都赐你们作食物，我赐你们这一切，如同赐你们菜蔬一样。
创9:4 只是有生命的肉，就是带着血的肉，你们不可吃。
创9:5 【流人的血及杀害人命的，主必讨他的罪】有害你们的生命、流你们血的，无论是兽是人，我必讨他的罪，人与人是弟兄，人若害人的生命，我必讨他的罪。
创9:6 凡流人血的，人也必流他的血，因为天主造人，是按着自己形像造的。
创9:7 你们要在地上生养众多，昌炽繁茂。
创9:8 【天主与人立约，以彩虹为证】天主又对{挪亚}和他的众子说：
创9:9 我与你们和你们的后裔立约。
创9:10 也与你们这里的活物立约，就是与飞鸟、牲畜、野兽，凡从方舟里出来的地上的活物立约。
创9:11 我与你们立约，不再用洪水灭各类有血气的，也不再有洪水淹地了。(“淹地”原文作“坏地”。)
创9:12 天主说：我与你们并你们这里各样活物立永世的约，是有证据的。
创9:13 我将虹放在云中，这就是我与世间立约的证据了。
创9:14 我使地上有云的时候，云中现出虹来。
创9:15 我便记念我与你们和各样有血气的活物所立的约，以后再没有洪水灭凡有血气的物了。
创9:16 虹现在云中，我看见了，就记念我与地上各样有血气的活物所立永远的约了。
创9:17 天主对{挪亚}说：我与地上凡有血气的物所立的约，这就是证据了。
创9:18 【洪水过后人类的始祖】出方舟的{挪亚}的儿子，就是{闪}、{含}、{雅弗}。{含}是{迦南}的父。
创9:19 这是{挪亚}的三个儿子。遍地的居民，都是他们的后裔。
创9:20 【挪亚因醉酒赤体，小儿子含见到而犯罪】¶当时{挪亚}作农夫，种葡萄园。
创9:21 喝了葡萄酒醉了，赤着身体卧在帐幕里。
创9:22 {迦南}的父{含}，见父赤体，就到了外边，告诉弟兄二人。
创9:23 {闪}和{雅弗}就将衣裳搭在肩上，倒退着进来，盖上父的赤体，背着脸，看不见父的赤体。
创9:24 【含的儿子迦南受到咒诅】{挪亚}醉醒了，知道小儿子向他所作的事了。
创9:25 就说：{迦南}可咒可诅，必做奴中的奴，服事他弟兄。
创9:26 【为闪祝福，为雅弗祈祷】又说：{闪}的天主是应当赞美的，{迦南}必做他的奴。
创9:27 天主必广大{雅弗}，必住在{闪}的帐幕里，{迦南}也做他的奴。(“天主必广大雅弗”或作“愿天主使雅弗地土广大，子孙众多”。)
创9:28 【挪亚高寿去世】洪水之后，{挪亚}又在世三百五十年。
创9:29 {挪亚}享寿九百五十岁就死了。
创10:1 【挪亚的儿子闪、含、雅弗的后裔（代上1:5-23）】{挪亚}的子是{闪}、{含}、{雅弗}。他们在洪水后都生了儿子，他们的后裔记在下面。
创10:2 【雅弗的后裔】{雅弗}的子是{歌篾}、{玛各}、{玛代}、{雅完}、{土巴}、{米设}、{提拉}。
创10:3 {歌篾}的子是{亚实基拿}、{利法}、{陀迦玛}。
创10:4 {雅完}的子是{以利沙}、{他施}、{基提}、{多单}。
创10:5 这些人的后裔都住洲岛，各随各国方言，各分支派宗族。
创10:6 【含的后裔】¶{含}的子是{古实}、{麦西}、{弗}、{迦南}。
创10:7 {古实}的子是{西巴}、{哈腓拉}、{撒弗他}、{拉玛}、{撒弗提迦}。{拉玛}的子是{示巴}、{底但}。
创10:8 【宁录开始作王，麦西、迦南的后裔】{古实}生{宁录}，是世上头一个英武的人。
创10:9 他在主面前是一个英武的猎户，所以俗语说：像{宁录}在主面前是一个英武的猎户。
创10:10 他国的起头是[巴别]、[以力]、[亚甲]、[甲尼]，都是在[示拿]地。
创10:11 有{亚述}从那地方出来，建立[尼尼微]、[利河伯伊尔]、[迦拉]，(“有亚述从那地方出来”或作“从那里往亚述去”。)
创10:12 又建立[尼尼微]、[迦拉]中间的[利鲜]，这就是大城了。
创10:13 {麦西}生[路丁]族、[亚拿米]族、[利哈]族、[拿弗土]族、
创10:14 [帕斯鲁]族、[迦斯路希]族、[迦斐托]族、[非利士]族从那里出来。
创10:15 ¶{迦南}生长子{西顿}，又生[赫]族、
创10:16 [耶布斯]族、[亚摩利]族、[革迦撒]族、
创10:17 [希未]族、[亚基]族、[西尼]族。
创10:18 [亚瓦底]族、[洗玛利]族、[哈末]族，后来[迦南]的诸族散居各处。
创10:19 [迦南]的境界从[西顿]到[基拉]，到[迦萨]，又到[所多玛]、[俄摩拉]、[押玛]、[洗扁]、[拉沙]。
创10:20 这就是{含}的后裔，各随宗族、方言、土地，分作邦国。
创10:21 【闪的后裔】¶{雅弗}的兄{闪}也生了几子，{闪}是{希伯}合族的始祖。
创10:22 {闪}的子是{以拦}、{亚述}、{亚法撒}、{路得}、{亚兰}。
创10:23 {亚兰}的子是{乌斯}、{户勒}、{基帖}、{玛施}。
创10:24 {亚法撒}生{沙拉}，{沙拉}生{希伯}。
创10:25 {希伯}生二子，一个名{法勒}，因为那时候世上人都分散了。{法勒}的兄弟名{约坍}。(法勒译即“分散”之义。)
创10:26 {约坍}生{亚摩答}、{沙列}、{哈萨玛非}、{耶拉}、
创10:27 {哈多兰}、{乌萨}、{德拉}、
创10:28 {俄八}、{亚比玛利}、{示巴}、
创10:29 {阿斐}、{哈非拉}、{约八}，这都是{约坍}的子。
创10:30 他们所住的地方，从[米沙]直到东山[西发]。
创10:31 这就是{闪}的后裔，各随宗族、方言、土地，分作邦国。
创10:32 以上都是{挪亚}三子的后裔，各随自己的支派，宗族、邦国、洪水以后，成为天下的列国。
创11:1 【天下人口音言语一样就要建造巴别台】那时天下人口音一样，言语一样。
创11:2 从东边迁移的时候，在[示拿]地遇见一片平原，就住在那里。
创11:3 彼此商量说：我们要作砖，又将砖烧了。他们就拿砖当石头，又拿石漆当灰泥。
创11:4 又说：我们要建筑一座城和一座台，台顶高插入天，为传扬我们的名，免得我们分散在地上。
创11:5 【主降临变乱人的言语，使他们不能同心】主降临，要看看世人所建筑的城和台。
创11:6 主说：这众人都连合为一，言语也都一样，如今既做起这事来，以后凡所要做的事，就没有不成就的了。
创11:7 我们要降临，变乱他们的言语，使他们言语彼此不通。
创11:8 于是主从那里使他们分散在遍地，他们就不再建筑那城了。
创11:9 因为主在那里变乱天下人的言语，使众人分散在遍地，所以那城名叫[巴别]。(巴别译即“变乱”之义。)
创11:10 【闪的后裔的详细记载（代上1:24-27）】¶{闪}的后裔记在下面。洪水以后二年，{闪}一百岁，生{亚法撒}。
创11:11 {闪}生{亚法撒}之后，在世五百年，又生子女。
创11:12 {亚法撒}三十五岁生{沙拉}。
创11:13 {亚法撒}生{沙拉}之后，在世四百零三年，又生子女。
创11:14 {沙拉}三十岁生{希伯}。
创11:15 {沙拉}生{希伯}之后，在世四百零三年，又生子女。
创11:16 {希伯}三十四岁生{法勒}。
创11:17 {希伯}生{法勒}之后，在世四百三十年，又生子女。
创11:18 {法勒}三十岁生{拉吴}。
创11:19 {法勒}生{拉吴}之后，在世二百零九年，又生子女。
创11:20 {拉吴}三十二岁生{西鹿}。
创11:21 {拉吴}生{西鹿}之后，在世二百零七年，又生子女。
创11:22 {西鹿}三十岁生{拿鹤}。
创11:23 {西鹿}生{拿鹤}之后，在世二百年，又生子女。
创11:24 {拿鹤}二十九岁生{他拉}。
创11:25 {拿鹤}生{他拉}之后，在世一百一十九年，又生子女。
创11:26 【他拉的后裔】{他拉}七十岁生{亚伯兰}、{拿鹤}、{哈兰}。
创11:27 {他拉}的后裔记在下面。{他拉}生{亚伯兰}、{拿鹤}、{哈兰}。{哈兰}生{罗得}。
创11:28 {哈兰}在父{他拉}还在的时候，就死在本地就是[迦勒底]的[吾珥]。
创11:29 {亚伯兰}、{拿鹤}各娶了妻。{亚伯兰}的妻名{撒莱}，{拿鹤}的妻名{密迦}，是{哈兰}的女儿，{哈兰}是{密迦}和{亦迦}的父。
创11:30 {撒莱}不生育，无子。
创11:31 【他拉离开吾珥去到哈兰】{他拉}带着他儿子{亚伯兰}和他孙子，就是{哈兰}的儿子{罗得}，并他的儿妇，就是{亚伯兰}的妻{撒莱}，出了[迦勒底]的[吾珥]，要往[迦南]地去，到了[哈兰]，就住在那里。
创11:32 {他拉}享寿二百零五岁，死在[哈兰]。
创12:1 【天主呼召亚伯兰，并与他立约，预言将来天下万民因他后裔得福】主吩咐{亚伯兰}说：你离开本地、亲族、父家，往我所要指示你的地方去。
创12:2 我必使你成为大族，赐福与你，使你大有名声，常享厚福。
创12:3 为你祝福的，我必赐福与他，咒诅你的，我必降祸与他。天下万民，将来都因你得福。
创12:4 【亚伯兰与侄儿罗得两家人出哈兰去迦南地】{亚伯兰}便遵着主的吩咐去了，{罗得}也跟随他去。{亚伯兰}出[哈兰]的时候，年七十五岁。
创12:5 {亚伯兰}将他妻{撒莱}和侄{罗得}，并在[哈兰]所积蓄的财物，所得的奴婢，都带往[迦南]地去，就到了[迦南]地。
创12:6 {亚伯兰}经过那地，到了[示剑]地方，[摩利]橡树那里，那时那一带地方都是[迦南]人居住。
